SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,200 Townsend St #2,San Francisco,CA,94107,855000,0,,San Francisco,877,15768,2003,7,975,658,Active,August-15-2021 02:00 PM,August-15-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/200-Townsend-St-94107/unit-2/home/12399483,San Francisco MLS,421581513,N,Y,37.7789208,-122.3932323
MLS Listing,,Single Family Residential,85 Cerritos Ave,San Francisco,CA,94127,1695000,3,3.0,San Francisco,2399,4199,1952,7,707,3,Active,,,http://www.redfin.com/CA/San-Francisco/85-Cerritos-Ave-94127/home/1647695,San Francisco MLS,421579668,N,Y,37.7261715,-122.468617
MLS Listing,,Condo/Co-op,300 Beale St #504,San Francisco,CA,94105,799000,1,1.0,San Francisco,754,35461,1937,7,1060,723,Active,August-14-2021 02:00 PM,August-14-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/300-Beale-St-94105/unit-504/home/12395851,San Francisco MLS,421580953,N,Y,37.7881762,-122.3925217
MLS Listing,,Single Family Residential,2924 Griffith St,San Francisco,CA,94124,729000,3,1.0,San Francisco,966,4996,1914,7,755,,Active,August-12-2021 05:30 PM,August-12-2021 06:30 PM,http://www.redfin.com/CA/San-Francisco/2924-Griffith-St-94124/home/1534105,San Francisco MLS,421580297,N,Y,37.7167063,-122.3898399
MLS Listing,,Condo/Co-op,558 Ashbury St,San Francisco,CA,94117,1495000,3,1.0,San Francisco,1651,2500,1904,8,906,325,Active,August-12-2021 06:00 PM,August-12-2021 07:30 PM,http://www.redfin.com/CA/San-Francisco/558-Ashbury-St-94117/home/1761614,San Francisco MLS,421564934,N,Y,37.770231,-122.4467796
MLS Listing,,Single Family Residential,2119 22nd St,San Francisco,CA,94107,950000,3,,San Francisco,1700,1873,1900,8,559,,Active,,,http://www.redfin.com/CA/San-Francisco/2119-22nd-St-94107/home/1495284,San Francisco MLS,421581773,N,Y,37.7569466,-122.4022822
MLS Listing,,Condo/Co-op,2311 Scott St #3,San Francisco,CA,94115,799000,0,1.0,San Francisco,,,1965,8,,282,Active,August-14-2021 02:00 PM,August-14-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2311-Scott-St-94115/unit-3/home/11743255,San Francisco MLS,421575235,N,Y,37.7913608,-122.4396242
MLS Listing,,Condo/Co-op,8 Buchanan St #306,San Francisco,CA,94102,795000,1,1.0,San Francisco,640,21140,2014,8,1242,464,Active,August-15-2021 01:00 PM,August-15-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/8-Buchanan-St-94102/unit-306/home/110051508,San Francisco MLS,421581610,N,Y,37.7699896,-122.426517
MLS Listing,,Condo/Co-op,2646 Post St #2,San Francisco,CA,94115,799000,1,1.0,San Francisco,845,2300,1927,8,946,250,Active,August-14-2021 01:00 PM,August-14-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/2646-Post-St-94115/unit-2/home/1894029,San Francisco MLS,421581287,N,Y,37.7837684,-122.4455516
MLS Listing,,Single Family Residential,508 Joost Ave,SAN FRANCISCO,CA,94127,1598888,4,2.0,SAN FRANCISCO,1422,2495,1958,8,1124,,Active,,,http://www.redfin.com/CA/San-Francisco/508-Joost-Ave-94127/home/1102378,MLSListings,ML81856800,N,Y,37.732523,-122.4468344
MLS Listing,,Condo/Co-op,133 Ellert St #2,San Francisco,CA,94110,850000,2,1.0,San Francisco,930,1350,1908,8,914,420,Active,August-15-2021 02:00 PM,August-15-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/133-Ellert-St-94110/unit-2/home/148066513,San Francisco MLS,421581577,N,Y,37.7384662,-122.416921
MLS Listing,,Condo/Co-op,1776 Sacramento St #706,San Francisco,CA,94109,1299000,3,2.0,San Francisco,1449,19662,1992,8,896,841,Active,,,http://www.redfin.com/CA/San-Francisco/1776-Sacramento-St-94109/unit-706/home/1401336,San Francisco MLS,421581130,N,Y,37.7915441,-122.4221102
MLS Listing,,Single Family Residential,1235 22nd Ave,San Francisco,CA,94122,1095000,3,1.0,San Francisco,1500,3300,1919,8,730,,Active,,,http://www.redfin.com/CA/San-Francisco/1235-22nd-Ave-94122/home/2023930,San Francisco MLS,421579715,N,Y,37.7645891,-122.4807557
MLS Listing,,Multi-Family (2-4 Unit),3485 - 3487 Washington St,San Francisco,CA,94118,7995000,8,,San Francisco,5405,3075,1911,8,1479,,Active,August-15-2021 02:00 PM,August-15-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/3485-Washington-St-94118/home/1181170,San Francisco MLS,421581277,N,Y,37.789326,-122.450333
MLS Listing,,Condo/Co-op,1238 Sutter St #501,San Francisco,CA,94109,715000,1,1.0,San Francisco,514,4830,2018,8,1391,522,Active,August-15-2021 01:00 PM,August-15-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/1238-Sutter-St-94109/unit-501/home/147294658,San Francisco MLS,421581286,N,Y,37.7880028,-122.4208442
MLS Listing,,Condo/Co-op,1160 Mission St #1608,San Francisco,CA,94103,1295000,2,2.0,San Francisco,1201,43557,2008,8,1078,1007,Active,August-15-2021 02:00 PM,August-15-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1160-Mission-St-94103/unit-1608/home/17306098,San Francisco MLS,421579501,N,Y,37.7786972,-122.4126145
